,%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
0,1649114709411949157,0,1317398079239670991,world,base_link,0.0,0.0,0.0,0.0020423651338902,0.0190003329560419,0.7650731688120116,0.643659741211276
11,1649114709511631727,0,1317398079339673995,world,base_link,-0.0885649827541783,0.5354143842123449,-0.0074234008800004,0.0030228228837481,0.0194309275937465,0.7655553981679665,0.6430693850048737
23,1649114709622036218,0,1317398079449843883,world,base_link,-0.1914515688549727,1.12136464798823,-0.0129699706999986,0.0037417915449259,0.0191810329494677,0.7659435944136599,0.6426106886348131
34,1649114709722020149,0,1317398079549899101,world,base_link,-0.2896318646380678,1.6519818264059722,-0.0120239257799994,0.004222440114198,0.0188365783819974,0.766506811675702,0.6419459961469428
45,1649114709822823286,0,1317398079649661064,world,base_link,-0.3872865163721144,2.1818239358253777,-0.0122680663999972,0.005583426982229,0.0190260875618867,0.7671074669118714,0.6412121080760045
57,1649114709932435989,0,1317398079759722948,world,base_link,-0.4945071529364213,2.7698847707360983,-0.0158233642499965,0.0072755320460674,0.0193102554811239,0.767603293520704,0.6405929787648849
68,1649114710032681226,0,1317398079859652042,world,base_link,-0.596108608180657,3.311259693466127,-0.016975402829999,0.008006710297554,0.0194553799326775,0.7680154329185739,0.6400856783125066
80,1649114710142944812,0,1317398079969841003,world,base_link,-0.710871946066618,3.912316205445677,-0.0136871337900004,0.0077975921777551,0.0197982495114941,0.7684730007554336,0.6395283214858037
91,1649114710242692708,0,1317398080069680929,world,base_link,-0.8186954471748322,4.464126334525645,-0.0064010620099992,0.0079670371659415,0.0198489837698751,0.7688232792576056,0.6391035201230559
103,1649114710353284835,0,1317398080179646015,world,base_link,-0.9383370915893464,5.081078744493425,-0.0040969848599985,0.0087829659662021,0.0187595581020609,0.7692302013944026,0.638635917993483
113,1649114710452822923,0,1317398080279638051,world,base_link,-1.0511732766171915,5.649260878097266,-0.0039672851499972,0.0096899367896577,0.0169223648650807,0.7695994874253931,0.6382290871207279
124,1649114710552636861,0,1317398080379646062,world,base_link,-1.165557706495747,6.228106155525893,-0.0073776245099992,0.0106452639413848,0.0151674928389406,0.7699859374762253,0.6377917227476831
136,1649114710662857532,0,1317398080489717960,world,base_link,-1.294504885096103,6.877037771977484,-0.0078659057599992,0.0104172314894308,0.0143421735445953,0.7704014150726126,0.6373126728696273
147,1649114710762570142,0,1317398080589646100,world,base_link,-1.4156032832106575,7.481707996688783,-0.0026702880799973,0.007333910686632,0.01538991064488,0.7707660773924712,0.6368901148121285
159,1649114710872768878,0,1317398080699630022,world,base_link,-1.5522452468285337,8.162032569292933,0.0080413818400018,0.0027863340249119,0.018590057436752,0.7710389433378011,0.6365104822104086
170,1649114710972643852,0,1317398080799640893,world,base_link,-1.678741474635899,8.79364373954013,0.0156478881900028,-0.000188422132966,0.0204710481833436,0.7712535383135272,0.6361987742225224
181,1649114711072223186,0,1317398080899650096,world,base_link,-1.8088110188255089,9.435772578697652,0.0145645141599999,-0.0010787141759468,0.0197383541424407,0.7716697181589104,0.6357161944044072
193,1649114711183214187,0,1317398081009690999,world,base_link,-1.9578001553891229,10.15652247518301,-0.0047302246100002,0.0011491196145841,0.0163394376574347,0.7719864847673321,0.6354278634414199
203,1649114711282568454,0,1317398081109601974,world,base_link,-2.093859165324829,10.827932783402504,-0.027236938469997,0.0040497460454648,0.0142875012281,0.7722668717760324,0.6351246693546749
215,1649114711392690420,0,1317398081219624996,world,base_link,-2.242673541768454,11.587950445245951,-0.0419692993099971,0.0044817549881219,0.0154340333557842,0.7726810612095749,0.6345909565496847
226,1649114711492616653,0,1317398081319645881,world,base_link,-2.376784532563761,12.29767840867862,-0.0469741821300004,0.0011287833786222,0.0188010189133987,0.7727950492798263,0.6343761182015704
238,1649114711601662397,0,1317398081429598093,world,base_link,-2.5295979662332684,13.09673666814342,-0.0566635131799984,-0.0018728400972039,0.0216026993419349,0.7729140626975065,0.6341401008732591
249,1649114711701716899,0,1317398081529654026,world,base_link,-2.6739512039348483,13.83775057643652,-0.0716400146500007,-0.0026218974749976,0.0228033617243443,0.7730330235503715,0.6339503741210901
260,1649114711801606416,0,1317398081629601955,world,base_link,-2.8197425904218107,14.593855983577669,-0.0938186645499996,-0.0016168690069228,0.0233359193433316,0.7730921641801518,0.633862229736293
272,1649114711912926673,0,1317398081739624023,world,base_link,-2.987557325512171,15.446129443123937,-0.1224441528299991,-0.0002914982671934,0.0227316395646063,0.77299076363124,0.6340098318892677
283,1649114712012742042,0,1317398081839612960,world,base_link,-3.1360501986928284,16.232771772891283,-0.1495971679700005,0.0002083733136548,0.0207600973072285,0.7728303139525327,0.6342730333037867
295,1649114712123034954,0,1317398081949678897,world,base_link,-3.300118688493967,17.115845347288996,-0.1748580932599992,0.0032332323363429,0.0200174588300544,0.7724796036934409,0.634715770584181
305,1649114712223317623,0,1317398082049709081,world,base_link,-3.446290106745437,17.932000023312867,-0.1927490234299966,0.0063870776835563,0.0191648882435184,0.7722664485800229,0.6349775151096899
317,1649114712332714080,0,1317398082159647941,world,base_link,-3.619702164665796,18.85114774107933,-0.2128677368099971,0.0085366552488663,0.0169601041455064,0.7718855412232588,0.6354779237983113
328,1649114712432562112,0,1317398082259574890,world,base_link,-3.7772833495400846,19.70112065412104,-0.2213668823199981,0.008495521867011,0.0162033851235259,0.771821185833116,0.6355763789804562
339,1649114712532446384,0,1317398082359594106,world,base_link,-3.939415968256071,20.56916592735797,-0.2237091064399976,0.0081463899989303,0.0162653829329257,0.7719082649361227,0.6354736061956745
351,1649114712642995595,0,1317398082469732046,world,base_link,-4.120142779662274,21.541111790575087,-0.2257766723599985,0.0081113252846891,0.0154313380520296,0.7719032983879854,0.6355008876042574
362,1649114712742729902,0,1317398082569617033,world,base_link,-4.290864710696042,22.43959934823215,-0.2290573120099992,0.008107609583669,0.0137576799625194,0.7718737582191512,0.6355752467501633
374,1649114712852638483,0,1317398082679593086,world,base_link,-4.476287218858488,23.44884028332308,-0.2318038940399986,0.0072681074222792,0.0120462852237062,0.7719105580194944,0.6355754495296685
384,1649114712952752113,0,1317398082779612064,world,base_link,-4.65128318418283,24.37006625952199,-0.2315216064399976,0.0066583772033844,0.0114371106088018,0.7718953063444128,0.6356119056133268
396,1649114713062885522,0,1317398082889604091,world,base_link,-4.8456655002664775,25.38913988834247,-0.2309036254799963,0.0063392227772019,0.011136114868608,0.7719775470618571,0.63552062754294
407,1649114713163186788,0,1317398082989825963,world,base_link,-5.024436806910671,26.323269291315228,-0.2299499511699991,0.0063705171177798,0.0110893852994664,0.7720354511908267,0.6354507881417005
418,1649114713262634277,0,1317398083089576959,world,base_link,-5.205077373073436,27.26339811226353,-0.226852416989999,0.00572393679187,0.0111507831071521,0.7721527616305528,0.635313315845033
430,1649114713372686147,0,1317398083199584007,world,base_link,-5.405876150471158,28.30640385719016,-0.2235717773399983,0.0047351857352873,0.0115192052141242,0.7722631493074471,0.6351806940934452
441,1649114713472785472,0,1317398083299561023,world,base_link,-5.590516692958772,29.262087770272046,-0.2214279174799998,0.0040510980736668,0.0116833001498329,0.7723762950112423,0.6350448393670426
453,1649114713582672834,0,1317398083409584999,world,base_link,-5.795153469545767,30.321455386001617,-0.2213897704999965,0.0043863271367617,0.0114639441848703,0.7723917395328528,0.6350278252323982
464,1649114713682810544,0,1317398083509615898,world,base_link,-5.98368034651503,31.29149793973193,-0.2235717773399983,0.0044918814326388,0.0106914668508721,0.7724516003004913,0.6349677477880129
475,1649114713782613515,0,1317398083609576940,world,base_link,-6.173770198831335,32.26723936293274,-0.2218170165999993,0.0043071388481964,0.0109616304436132,0.7725491365316547,0.6348457472939036
486,1649114713892701148,0,1317398083719604015,world,base_link,-6.383723258157261,33.35056509822607,-0.21883392334,0.0034560711372346,0.0121876213877103,0.7727761265523054,0.6345522639531116
497,1649114713992761135,0,1317398083819546937,world,base_link,-6.577087497222237,34.342374950647354,-0.2168579101499972,0.0021074501480154,0.0131998629168094,0.7728823145320202,0.6344085829782558
509,1649114714102667093,0,1317398083929575920,world,base_link,-6.792300427216105,35.44194059912115,-0.2181625366199995,0.0010390309833483,0.0140068183343276,0.7730559099217854,0.6341823788073624
520,1649114714202992916,0,1317398084029737949,world,base_link,-6.991176239796914,36.44428795063868,-0.2211685180599971,0.0008232522899044,0.0142365113071464,0.7732181535439232,0.633979756010864
532,1649114714312721252,0,1317398084139569997,world,base_link,-7.203277373220772,37.55629272107035,-0.2344818115199984,0.0016184035168345,0.0139346676367525,0.7733406661633806,0.6338354832808658
543,1649114714412610530,0,1317398084239552021,world,base_link,-7.390346781816333,38.57081989152357,-0.2487335204999965,0.001673785816115,0.0137552317826425,0.7734474903837882,0.6337089013566619
554,1649114714512665510,0,1317398084339576005,world,base_link,-7.586631896789186,39.58599536214024,-0.2540588378899997,0.0014480820812692,0.0140983638399044,0.7736062535408746,0.6335080928273731
566,1649114714624228715,0,1317398084449598073,world,base_link,-7.805500317364931,40.70037410641089,-0.2551422119099982,0.0006279258492754,0.0148416728725842,0.7738617133837221,0.6331803684687967
576,1649114714723431587,0,1317398084549599885,world,base_link,-8.007051781751215,41.71264127688482,-0.2562332153299991,-0.0002565664844119,0.0155553115667618,0.7740364484142684,0.6329498739883955
588,1649114714832626104,0,1317398084659543037,world,base_link,-8.229424980701879,42.82342758821324,-0.2593460082999996,-0.0009151476349805,0.0151074563245975,0.7742070577456611,0.6327514195993661
599,1649114714932627439,0,1317398084759555101,world,base_link,-8.436167405219749,43.82857654104009,-0.2736968994099982,0.000342570290165,0.0135638448317305,0.7743361625098403,0.6326289688186207
611,1649114715043208360,0,1317398084869721889,world,base_link,-8.666971237049438,44.93135823076591,-0.29354095459,0.0016078735396838,0.0115021059596142,0.7743759700554562,0.6326191376348375
622,1649114715142922401,0,1317398084969672918,world,base_link,-8.875848077819683,45.93943351320922,-0.3022689819299984,0.001566943117285,0.0110540533776832,0.7744303257251969,0.6325606873576292
633,1649114715242712736,0,1317398085069590091,world,base_link,-9.08356365095824,46.95075497077778,-0.3074874877899987,0.0005295251823829,0.0118922333390186,0.7743679277941453,0.6326235901332585
645,1649114715352550029,0,1317398085179549932,world,base_link,-9.311915809405036,48.06336999218911,-0.3164672851499972,-0.0006685206765829,0.0123221215555608,0.7743142183660635,0.6326809698707773
656,1649114715452831745,0,1317398085279772996,world,base_link,-9.517063900711946,49.07681894861162,-0.3272018432599992,-0.000481844043807,0.0135520648176844,0.7742751764262369,0.6327037699710779
667,1649114715562691926,0,1317398085389530897,world,base_link,-9.744080637348816,50.18983615422621,-0.3400268554700005,-0.0008552947421505,0.013274913238263,0.774170559528195,0.6328372538885666
678,1649114715662943840,0,1317398085489763975,world,base_link,-9.950594012858346,51.20179892750457,-0.3571548461899994,0.0008552778269442,0.0131831021250462,0.7740206615351576,0.6330225034190147
689,1649114715762570858,0,1317398085589530944,world,base_link,-10.157648937776685,52.2099068579264,-0.3758087158199998,0.0013990820332723,0.0119382477080673,0.7740034908716038,0.6330672293917101
701,1649114715872358560,0,1317398085699522018,world,base_link,-10.38581186113879,53.32188306609169,-0.3888244628899997,0.0025220807068488,0.011639834789808,0.773963430035267,0.6331182846222486
712,1649114715971742391,0,1317398085799509048,world,base_link,-10.597612131386995,54.326256684958935,-0.3994293212900004,0.0040396637137838,0.0112050053251431,0.7739399310130962,0.6331469909556443
724,1649114716082908391,0,1317398085909544944,world,base_link,-10.82648390007671,55.436573303770274,-0.405364990229998,0.0055830840570127,0.0110429324591102,0.7738740209939229,0.6332186687439129
735,1649114716182823657,0,1317398086009665012,world,base_link,-11.037550226901658,56.44363893195987,-0.4057159423799987,0.0052854960700853,0.0121961941180629,0.7738172960945827,0.633269380789247
747,1649114716292933225,0,1317398086119570016,world,base_link,-11.266416436294094,57.56180953606963,-0.4076766967699967,0.0032644973498172,0.0147885338746089,0.7737985184769178,0.6332507363800057
757,1649114716392749786,0,1317398086219512939,world,base_link,-11.476943314890375,58.57830630103126,-0.4151763915999993,0.0013926965124581,0.0171034060023237,0.7737006071820535,0.6333189594080264
768,1649114716492564439,0,1317398086319509029,world,base_link,-11.684289647382684,59.59686991851777,-0.4284744262700002,0.0013388703335864,0.0181712867505295,0.7736395681363852,0.6333639004378186
780,1649114716602649927,0,1317398086429521083,world,base_link,-11.908873453969136,60.71576541662216,-0.4535522460899983,0.0036845446829649,0.0183352767353897,0.7735277690904719,0.6334864104331154
791,1649114716702761411,0,1317398086529572010,world,base_link,-12.110506020137109,61.73396218428388,-0.4749755859299966,0.0054792163355747,0.0180323880116341,0.7734956510904064,0.6335213405365079
803,1649114716812473535,0,1317398086639507055,world,base_link,-12.334934298880398,62.853930686134845,-0.4942092895499996,0.0063693826746318,0.0159438103251634,0.7735307511444223,0.6335261659241908
814,1649114716912435293,0,1317398086739523887,world,base_link,-12.539299724274317,63.87494047638029,-0.510948181149999,0.0083064202435051,0.0147458558698327,0.7735013944057763,0.6335685882126135
825,1649114717012597799,0,1317398086839589118,world,base_link,-12.743871749262324,64.89797170925885,-0.5234985351499972,0.0076959935214926,0.0132213997992232,0.7733695683091197,0.6337708395661891
837,1649114717123271226,0,1317398086949579000,world,base_link,-12.972615474020133,66.02507362235337,-0.5284423828099989,0.004586609205751,0.0125406770810294,0.7730868873378138,0.6341595690838967
847,1649114717223320722,0,1317398087049614906,world,base_link,-13.17787118058186,67.04928035102785,-0.5342788696300005,0.0031863440001152,0.0127769629293837,0.7730592525028533,0.6341971212091269
859,1649114717332551956,0,1317398087159513950,world,base_link,-13.399729168741032,68.17293810006231,-0.5479965209899973,0.0033265905627783,0.0131844178684658,0.7731045186258697,0.6341328789780261
870,1649114717432579278,0,1317398087259489059,world,base_link,-13.600808468298055,69.1962629025802,-0.5570526122999979,0.0034468694038839,0.0140200237054682,0.7730396807281963,0.6341933538332446
882,1649114717542836427,0,1317398087369647026,world,base_link,-13.821612745523453,70.32044351380318,-0.5678329467699967,0.0032774994431875,0.0149695261021317,0.7731256170291556,0.6340677815336186
893,1649114717641685724,0,1317398087469645023,world,base_link,-14.0240790565731,71.34040748747066,-0.5725936889599978,0.0030936534680481,0.0161309882215694,0.7732017475908325,0.6339473779815621
904,1649114717741665601,0,1317398087569519996,world,base_link,-14.228689297684468,72.35456458991393,-0.5741653442400008,0.0027065515637139,0.017229418900821,0.7734051018800896,0.6336721313809069
916,1649114717852335214,0,1317398087679558992,world,base_link,-14.452715759282,73.46852914104238,-0.5815200805599972,0.0033978736463392,0.0171447974540883,0.7735942402429803,0.633440180157391
927,1649114717952906608,0,1317398087779481887,world,base_link,-14.65845758060459,74.47544175293297,-0.5917434692400008,0.0047850069142853,0.0158735082735414,0.7737521961704739,0.6332714065590588
938,1649114718062656402,0,1317398087889482975,world,base_link,-14.885230734595098,75.58334040502086,-0.5992889404300001,0.0054961621650366,0.0148594008960197,0.7739735700379059,0.6330196705389538
949,1649114718162799835,0,1317398087989665985,world,base_link,-15.095343268825673,76.5856939139776,-0.5976257324199992,0.0042694361720153,0.0145887720000985,0.7741507448846374,0.6328187448557946
960,1649114718262780904,0,1317398088089498043,world,base_link,-15.3045339374803,77.58859163103625,-0.594734191889998,0.0024749974562789,0.0155042462134737,0.7743370050197711,0.6325786080748814
