%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1649114709411949157,0,1317398079239670991,world,base_link,0.0,0.0,0.0,0.0020423651338902643,0.019000332956041924,0.7650731688120116,0.643659741211276
1649114709412527084,0,1317398079250214636,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709422197580,0,1317398079260271559,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709432942152,0,1317398079270369544,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709444117307,0,1317398079280539367,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709453453063,0,1317398079290654240,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709462933540,0,1317398079300751286,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709473456859,0,1317398079310846766,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709483297109,0,1317398079320907319,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709492842435,0,1317398079330999486,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709503441095,0,1317398079341059461,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709511631727,0,1317398079339673995,world,base_link,-0.08856498275417835,0.5354143842123449,-0.007423400880000486,0.0030228228837481607,0.019430927593746594,0.7655553981679665,0.6430693850048737
1649114709512845277,0,1317398079351139704,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709523715019,0,1317398079361221215,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709533481836,0,1317398079371321423,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709544338226,0,1317398079381412806,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709554324150,0,1317398079391511052,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709563732624,0,1317398079401605624,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709573718547,0,1317398079411666332,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709584281206,0,1317398079421729736,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709593788623,0,1317398079431789635,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709604318380,0,1317398079441850045,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709613909482,0,1317398079451907054,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709622036218,0,1317398079449843883,world,base_link,-0.19145156885497272,1.12136464798823,-0.012969970699998612,0.003741791544925939,0.01918103294946773,0.7659435944136599,0.6426106886348131
1649114709624713897,0,1317398079462003671,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709634505987,0,1317398079472099712,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709644274711,0,1317398079482163844,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709654371500,0,1317398079492259825,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709665135860,0,1317398079502298159,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1649114709674807786,0,1317398079512391353,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
