%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1317398079229883612,0,1317398079239670991,world,base_link,0.0,0.0,0.0,0.0020423651338902643,0.019000332956041924,0.7650731688120116,0.643659741211276
1317398079240258430,0,1317398079250258430,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079250504985,0,1317398079260504985,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079260650388,0,1317398079270650388,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079270725476,0,1317398079280725476,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079280847633,0,1317398079290847633,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079290966962,0,1317398079300966962,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079301063294,0,1317398079311063294,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079311191875,0,1317398079321191875,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079321284926,0,1317398079331284926,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079331354270,0,1317398079341354270,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079331354270,0,1317398079339673995,world,base_link,-0.08856498275417835,0.5354143842123449,-0.007423400880000486,0.0030228228837481607,0.019430927593746594,0.7655553981679665,0.6430693850048737
1317398079341440174,0,1317398079351440174,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079351559566,0,1317398079361559566,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079361678181,0,1317398079371678181,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079371806470,0,1317398079381806470,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079381878474,0,1317398079391878474,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079392011287,0,1317398079402011287,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079402131780,0,1317398079412131780,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079412189562,0,1317398079422189562,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079422259733,0,1317398079432259733,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079432326443,0,1317398079442326443,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079442396461,0,1317398079452396461,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079442396461,0,1317398079449843883,world,base_link,-0.19145156885497272,1.12136464798823,-0.012969970699998612,0.003741791544925939,0.01918103294946773,0.7659435944136599,0.6426106886348131
1317398079452464028,0,1317398079462464028,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079462594352,0,1317398079472594352,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079472716011,0,1317398079482716011,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079482835776,0,1317398079492835776,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079492930259,0,1317398079502930259,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079503024353,0,1317398079513024353,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079513123564,0,1317398079523123564,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079523180611,0,1317398079533180611,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079533241367,0,1317398079543241367,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079543295289,0,1317398079553295289,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079543295289,0,1317398079549899101,world,base_link,-0.2896318646380678,1.6519818264059722,-0.012023925779999445,0.004222440114198015,0.0188365783819974,0.766506811675702,0.6419459961469428
1317398079553364360,0,1317398079563364360,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079563423229,0,1317398079573423229,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079573475687,0,1317398079583475687,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079583532996,0,1317398079593532996,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079593633404,0,1317398079603633404,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079603725162,0,1317398079613725162,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079613820513,0,1317398079623820513,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079623888036,0,1317398079633888036,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079633998151,0,1317398079643998151,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079644054622,0,1317398079654054622,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079644054622,0,1317398079649661064,world,base_link,-0.3872865163721144,2.1818239358253777,-0.012268066399997224,0.005583426982229081,0.01902608756188675,0.7671074669118714,0.6412121080760045
1317398079654108599,0,1317398079664108599,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079664163796,0,1317398079674163796,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079674221857,0,1317398079684221857,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079684280948,0,1317398079694280948,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079694340113,0,1317398079704340113,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079704400286,0,1317398079714400286,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079714458978,0,1317398079724458978,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079724519200,0,1317398079734519200,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079734577266,0,1317398079744577266,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079744678660,0,1317398079754678660,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079754739505,0,1317398079764739505,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079754739505,0,1317398079759722948,world,base_link,-0.49450715293642133,2.7698847707360983,-0.01582336424999653,0.007275532046067486,0.01931025548112392,0.767603293520704,0.6405929787648849
1317398079764839418,0,1317398079774839418,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079774903766,0,1317398079784903766,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079784964907,0,1317398079794964907,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079795030559,0,1317398079805030559,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079805092683,0,1317398079815092683,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079815158020,0,1317398079825158020,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079825223699,0,1317398079835223699,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079835412417,0,1317398079845412417,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079845498179,0,1317398079855498179,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079855549909,0,1317398079865549909,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079855549909,0,1317398079859652042,world,base_link,-0.596108608180657,3.311259693466127,-0.016975402829999098,0.008006710297554087,0.019455379932677506,0.7680154329185739,0.6400856783125066
1317398079865607630,0,1317398079875607630,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079875668782,0,1317398079885668782,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079885842108,0,1317398079895842108,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079895930466,0,1317398079905930466,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079905990121,0,1317398079915990121,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079916101052,0,1317398079926101052,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079926235436,0,1317398079936235436,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079936318497,0,1317398079946318497,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079946404436,0,1317398079956404436,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079956510158,0,1317398079966510158,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079966576002,0,1317398079976576002,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1317398079966576002,0,1317398079969841003,world,base_link,-0.710871946066618,3.912316205445677,-0.013687133790000416,0.0077975921777551005,0.01979824951149419,0.7684730007554336,0.6395283214858037
