%time field.header.seq field.header.stamp field.header.frame_id field.status.status field.status.service field.latitude field.longitude field.altitude field.position_covariance0 field.position_covariance1 field.position_covariance2 field.position_covariance3 field.position_covariance4 field.position_covariance5 field.position_covariance6 field.position_covariance7 field.position_covariance8 field.position_covariance_type
1317398079239670991 0 1317398079239670991 imu_link 0 1 49.04951961077 8.3965961639946 113.02558135986 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398079339673995 0 1317398079339673995 imu_link 0 1 49.049524420479 8.3965949501025 113.01815795898 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398079449843883 0 1317398079449843883 imu_link 0 1 49.049529684159 8.3965935399152 113.01261138916 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398079549899101 0 1317398079549899101 imu_link 0 1 49.049534450773 8.3965921942334 113.01355743408 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398079649661064 0 1317398079649661064 imu_link 0 1 49.049539210424 8.3965908557562 113.01331329346 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398079759722948 0 1317398079759722948 imu_link 0 1 49.049544493062 8.3965893861654 113.00975799561 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398079859652042 0 1317398079859652042 imu_link 0 1 49.049549356313 8.3965879935924 113.00860595703 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398079969841003 0 1317398079969841003 imu_link 0 1 49.049554755692 8.3965864206196 113.01189422607 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398080069680929 0 1317398080069680929 imu_link 0 1 49.049559712683 8.3965849427658 113.01918029785 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398080179646015 0 1317398080179646015 imu_link 0 1 49.049565254856 8.3965833029298 113.021484375 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398080279638051 0 1317398080279638051 imu_link 0 1 49.049570358918 8.396581756371 113.02161407471 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398080379646062 0 1317398080379646062 imu_link 0 1 49.049575558768 8.3965801885916 113.01820373535 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398080489717960 0 1317398080489717960 imu_link 0 1 49.049581388213 8.3965784212118 113.0177154541 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398080589646100 0 1317398080589646100 imu_link 0 1 49.049586820051 8.3965767614092 113.02291107178 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398080699630022 0 1317398080699630022 imu_link 0 1 49.049592931502 8.3965748885629 113.0336227417 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398080799640893 0 1317398080799640893 imu_link 0 1 49.049598605353 8.3965731547764 113.04122924805 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398080899650096 0 1317398080899650096 imu_link 0 1 49.049604373685 8.3965713720132 113.04014587402 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398081009690999 0 1317398081009690999 imu_link 0 1 49.04961084828 8.3965693299337 113.02085113525 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398081109601974 0 1317398081109601974 imu_link 0 1 49.04961687965 8.3965674650775 112.99834442139 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398081219624996 0 1317398081219624996 imu_link 0 1 49.049623706991 8.3965654253933 112.98361206055 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398081319645881 0 1317398081319645881 imu_link 0 1 49.049630082572 8.3965635872371 112.97860717773 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398081429598093 0 1317398081429598093 imu_link 0 1 49.049637260618 8.3965614927409 112.96891784668 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398081529654026 0 1317398081529654026 imu_link 0 1 49.049643917243 8.3965595142021 112.95394134521 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398081629601955 0 1317398081629601955 imu_link 0 1 49.049650709436 8.3965575159517 112.93176269531 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398081739624023 0 1317398081739624023 imu_link 0 1 49.049658365518 8.3965552158442 112.90313720703 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398081839612960 0 1317398081839612960 imu_link 0 1 49.049665432026 8.3965531805666 112.87598419189 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317398081949678897 0 1317398081949678897 imu_link 0 1 49.049673364787 8.396550931806 112.8507232666 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
