%time field.header.seq field.header.stamp field.header.frame_id field.orientation.x field.orientation.y field.orientation.z field.orientation.w field.orientation_covariance0 field.orientation_covariance1 field.orientation_covariance2 field.orientation_covariance3 field.orientation_covariance4 field.orientation_covariance5 field.orientation_covariance6 field.orientation_covariance7 field.orientation_covariance8 field.angular_velocity.x field.angular_velocity.y field.angular_velocity.z field.angular_velocity_covariance0 field.angular_velocity_covariance1 field.angular_velocity_covariance2 field.angular_velocity_covariance3 field.angular_velocity_covariance4 field.angular_velocity_covariance5 field.angular_velocity_covariance6 field.angular_velocity_covariance7 field.angular_velocity_covariance8 field.linear_acceleration.x field.linear_acceleration.y field.linear_acceleration.z field.linear_acceleration_covariance0 field.linear_acceleration_covariance1 field.linear_acceleration_covariance2 field.linear_acceleration_covariance3 field.linear_acceleration_covariance4 field.linear_acceleration_covariance5 field.linear_acceleration_covariance6 field.linear_acceleration_covariance7 field.linear_acceleration_covariance8
1317379361900998115 0 1317379361900998115 imu_link 0.010935053784873847 0.0043334447197907605 -0.2167516152033228 0.976155921542421 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00878702125719 -0.00170113454759 0.01108071257471 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.08150861766723 -0.5583159747491 10.344361228497 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1317379362001003026 0 1317379362001003026 imu_link 0.010423025041189192 0.004229436883957262 -0.2172264590861862 0.9760564214662555 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00753130630371 -0.00174344113073 0.00964208270484 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.04033718881855 -0.52455683381413 10.30992889764695 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1317379362101006984 0 1317379362101006984 imu_link 0.009910892561824404 0.004125929471811285 -0.21770139290853366 0.9759563793737432 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00627559135023 -0.00178574771387 0.00820345283496 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00083424003012 -0.49079769287915 10.2754965667969 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1317379362201011896 0 1317379362201011896 imu_link 0.009398656915574684 0.004022922673781481 -0.2181764161023647 0.9758557950835112 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00501987639675 -0.00182805429701 0.00676482296508 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0420056688788 -0.45703855194418 10.24106423594685 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1317379362301017045 0 1317379362301017045 imu_link 0.008886318671509387 0.0039204166796623675 -0.21865152809940575 0.9757546684148228 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00376416144327 -0.00187036088015 0.00532619309521 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.08317709772747 -0.4232794110092 10.2066319050968 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1317379362401021003 0 1317379362401021003 imu_link 0.008373878398971281 0.0038184116786139696 -0.21912672833111035 0.9756529991875779 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00250844648979 -0.00191266746329 0.00388756322533 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.12434852657615 -0.38952027007422 10.17219957424675 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1317379362501025915 0 1317379362501025915 imu_link 0.007861336667575828 0.0037169078591614596 -0.21960201622866019 0.9755507872223119 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00125273153631 -0.00195497404643 0.00244893335546 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.16551995542482 -0.35576112913925 10.1377672433967 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1317379362601031064 0 1317379362601031064 imu_link 0.007348694047210474 0.0036159054091947883 -0.22007739122296588 0.975448032340199 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.98341717e-06 -0.00199728062957 0.00101030348558 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.2066913842735 -0.32200198820427 10.10333491254665 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1317379362701035976 0 1317379362701035976 imu_link 0.006835951108033902 0.003515404515968325 -0.22055285274466738 0.975344734363049 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00125869837065 -0.00203958721271 -0.00042832638429 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.24786281312217 -0.28824284726929 10.0689025816966 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1317379362801039934 0 1317379362801039934 imu_link 0.006323108420475333 0.003415405366100496 -0.22102840022413492 0.9752408931133105 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00251441332413 -0.00208189379585 -0.00186695625417 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.28903424197085 -0.25448370633432 10.03447025084655 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
